ERROR game::components::world: [[Raw Silver, Empty, Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty],
 [Empty, Raw Silver, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty],
 [Raw Gold, Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Gold, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver],
 [Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Empty, Empty, Empty, Raw Silver],
 [Empty, Raw Silver, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Empty],
 [Empty, Empty, Empty, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Gold],
 [Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Silver, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Empty, Raw Silver],
 [Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Raw Silver],
 [Empty, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Empty, Empty],
 [Raw Silver, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty]]
ERROR game::components::world: [[Raw Silver, Empty, Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Raw Silver, Empty, Empty, Raw Gold, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold],
 [Raw Silver, Empty, Raw Gold, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Empty, Raw Gold, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Raw Gold],
 [Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Raw Silver, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Raw Silver, Empty],
 [Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Raw Silver],
 [Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Empty],
 [Empty, Raw Gold, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Silver, Raw Silver, Empty, Raw Silver, Empty, Empty, Raw Silver, Raw Silver, Empty],
 [Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Silver],
 [Empty, Raw Gold, Empty, Empty, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Empty, Empty, Empty],
 [Raw Silver, Raw Silver, Empty, Raw Silver, Raw Silver, Empty, Empty, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Gold, Raw Gold, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Raw Silver, Raw Gold, Raw Silver],
 [Raw Gold, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold, Raw Gold, Empty],
 [Raw Silver, Empty, Empty, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty],
 [Raw Gold, Empty, Raw Silver, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold],
 [Empty, Raw Silver, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty],
 [Raw Gold, Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Gold, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver],
 [Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Empty, Empty, Empty, Raw Silver],
 [Empty, Raw Silver, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Empty],
 [Empty, Empty, Empty, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Gold],
 [Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Silver, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Empty, Raw Silver],
 [Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Raw Silver],
 [Empty, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Empty, Empty],
 [Raw Silver, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty]]
ERROR game::components::world: [[Raw Silver, Empty, Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Raw Silver, Empty, Empty, Raw Gold, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold],
 [Raw Silver, Empty, Raw Gold, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Empty, Raw Gold, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Raw Gold],
 [Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Raw Silver, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Raw Silver, Empty],
 [Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Raw Silver],
 [Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Empty],
 [Empty, Raw Gold, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Silver, Raw Silver, Empty, Raw Silver, Empty, Empty, Raw Silver, Raw Silver, Empty],
 [Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Silver],
 [Empty, Raw Gold, Empty, Empty, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Empty, Empty, Empty],
 [Raw Silver, Raw Silver, Empty, Raw Silver, Raw Silver, Empty, Empty, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Gold, Raw Gold, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Raw Silver, Raw Gold, Raw Silver],
 [Raw Gold, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold, Raw Gold, Empty],
 [Raw Silver, Empty, Empty, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty],
 [Raw Gold, Empty, Raw Silver, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold],
 [Empty, Raw Silver, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty],
 [Raw Gold, Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Gold, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver],
 [Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Empty, Empty, Empty, Raw Silver],
 [Empty, Raw Silver, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Empty],
 [Empty, Empty, Empty, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Gold],
 [Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Silver, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Empty, Raw Silver],
 [Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Raw Silver],
 [Empty, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Empty, Empty],
 [Raw Silver, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty]]
ERROR game::components::world: [[Raw Silver, Empty, Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Raw Silver, Empty, Empty, Raw Gold, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold],
 [Raw Silver, Empty, Raw Gold, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Empty, Raw Gold, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Raw Gold],
 [Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Raw Silver, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Raw Silver, Empty],
 [Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Raw Silver],
 [Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Empty],
 [Empty, Raw Gold, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Silver, Raw Silver, Empty, Raw Silver, Empty, Empty, Raw Silver, Raw Silver, Empty],
 [Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Silver],
 [Empty, Raw Gold, Empty, Empty, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Empty, Empty, Empty],
 [Raw Silver, Raw Silver, Empty, Raw Silver, Raw Silver, Empty, Empty, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Gold, Raw Gold, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Raw Silver, Raw Gold, Raw Silver],
 [Raw Gold, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold, Raw Gold, Empty],
 [Raw Silver, Empty, Empty, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty],
 [Raw Gold, Empty, Raw Silver, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold],
 [Empty, Raw Silver, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty],
 [Raw Gold, Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Gold, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver],
 [Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Empty, Empty, Empty, Raw Silver],
 [Empty, Raw Silver, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Empty],
 [Empty, Empty, Empty, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Gold],
 [Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Silver, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Empty, Raw Silver],
 [Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Raw Silver],
 [Empty, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Empty, Empty],
 [Raw Silver, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty]]
ERROR game::components::world: [[Raw Silver, Empty, Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Raw Silver, Empty, Empty, Raw Gold, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold],
 [Raw Silver, Empty, Raw Gold, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Empty, Raw Gold, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Raw Gold],
 [Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Raw Silver, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Raw Silver, Empty],
 [Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Raw Silver],
 [Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Empty],
 [Empty, Raw Gold, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Raw Gold],
 [Empty, Empty, Empty, Raw Silver, Raw Silver, Empty, Raw Silver, Empty, Empty, Raw Silver, Raw Silver, Empty],
 [Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Silver],
 [Empty, Raw Gold, Empty, Empty, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Empty, Empty, Empty],
 [Raw Silver, Raw Silver, Empty, Raw Silver, Raw Silver, Empty, Empty, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Gold, Raw Gold, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Raw Silver, Raw Gold, Raw Silver],
 [Raw Gold, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold, Raw Gold, Empty],
 [Raw Silver, Empty, Empty, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty],
 [Raw Gold, Empty, Raw Silver, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Empty, Raw Gold],
 [Empty, Raw Silver, Raw Silver, Empty, Empty, Empty, Empty, Raw Gold, Empty, Empty, Empty, Empty],
 [Empty, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Silver, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Gold, Empty, Raw Gold, Raw Silver, Raw Gold, Empty, Raw Gold],
 [Empty, Raw Gold, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty],
 [Raw Gold, Empty, Raw Gold, Raw Silver, Empty, Raw Gold, Empty, Empty, Raw Gold, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Raw Silver, Raw Gold, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver],
 [Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Silver, Raw Gold, Empty, Empty, Empty, Raw Silver],
 [Empty, Raw Silver, Empty, Raw Silver, Raw Silver, Raw Silver, Raw Silver, Raw Gold, Empty, Raw Gold, Empty, Empty],
 [Empty, Empty, Empty, Empty, Raw Gold, Empty, Raw Silver, Raw Gold, Raw Gold, Empty, Raw Silver, Raw Gold],
 [Raw Gold, Empty, Raw Silver, Empty, Empty, Empty, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty],
 [Empty, Raw Silver, Raw Gold, Empty, Raw Silver, Raw Gold, Empty, Empty, Raw Silver, Empty, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Silver, Empty, Empty, Raw Gold, Raw Silver, Raw Silver, Empty, Raw Silver],
 [Empty, Raw Gold, Empty, Raw Gold, Raw Gold, Raw Silver, Raw Gold, Raw Gold, Empty, Empty, Raw Silver, Raw Silver],
 [Empty, Empty, Raw Gold, Empty, Empty, Raw Gold, Raw Gold, Raw Gold, Raw Silver, Raw Silver, Empty, Empty],
 [Raw Silver, Raw Silver, Raw Silver, Raw Gold, Raw Silver, Empty, Raw Silver, Raw Gold, Raw Silver, Empty, Empty, Empty],
 [Raw Silver, Empty, Empty, Empty, Raw Silver, Empty, Raw Gold, Empty, Raw Silver, Raw Silver, Empty, Empty],
 [Empty, Empty, Raw Gold, Empty, Raw Gold, Empty, Empty, Raw Silver, Raw Gold, Empty, Empty, Empty]]
